word;meaning
dụ́ụ;" tale,fable, legend, story;"
dụọ́; mound made with hoe
dụ́rụmọ;join or place together parts of a broken solid object like plate, pot
dụ́ụ³; go upstream, paddle against the current
dụụmọ́; be next 
dụ́ụmọ;bring to an end
dụ́ụmọ dụ̀ụmọ́;one after the other
dụ́ụtìḅịdụ́ụtìḅị; snake , the Calabar Ground Python
dụwáàn;appearing forcefully
dụ́wẹịtawaịn; plant with inedible fruit
ebébuu;the whole, complete,
ebií;be good, sufficient, fine, beautiful, handsome, holy
dụ́ụmọ²;support, prop up
dụ́wẹịfụrụkana;herb
dụ́wẹị-ịkpịkpị; inedible eggplant 
dụ́wẹị-ịsụsụ; inedible but medicinal garden-egg 
dụ́wẹịpan; loofah, used in making sponges
ebereberé;astonishment
Ebidọọ́ ;It is enough, sufficient
ebi bolóu;warm heart,good faith
ebi dọụ́;look for good,use artificial aids to beauty
ebi egbérì;good news, gospel
ebi ụndụ́ ; goodness, beauty, holiness
 ebi-bịbị-fíè;good-hearted,well-intentioned ,surrounded by a good aura
Ebimọboó;personal name 
 ebimọọ́;make good, beautiful
Ebiní-ịpịrí ̣;personal name
ebiní-ì-pebughá; fish, the silversides
Ebiụndụ́;personal name means good life 
Ebiwẹní; male name means  ̣good venture
edingbilaá; ram
egbébịbị; someone who doesn’t speak out 
Égbebìri;town in Bíseni ibe of Northern Nzọn
Egberikẹ́;male personal name 
egegeí;talk in a distracted way, moving about from one person to another, lamenting the loss of someone very dear
egiri kéinkein;be careful (with a thing), be confident
ekiri-ekíri; to be in parts or groups,confusion
ọgọnọ ekpé;area above chin
Egbésù;chief deity or deity of a clan, such as Kólokùmá, Opokumá Ègbesu, the Egbésù of Kólokùmá and Opokumá clans 
egidé; place, area 
ekeleí;go about without purpose or destination, wander
ekérekù;water lettuce 
Ekine;name of the chief deity of Bomọ (Boma) ibe, whose seat is at Opuamá (formerly Séibiri) in Southern Nzọn  
ekpé;chin
kíri èkpe;area below chin
ekpébukpebù;describes one who cannot speak out where it is necessaryto say something
 ekpébùmékpee;emptied,nothing
ekpunekpúù;not covered with clothes,with nude body
Ekpétiama; Ekpétiama ibe in Northern Nzọn. Its towns are Ikibiri, Bụ́mọụndi (headquarters), Akaịbiri, Tómbia, Agụdama, and Gbanrantọrụbọ́
ekpú;the body minus the head such as the trunk and limbs 
ekúlèí-ụ̀ngbọ;seed 
eméin-fị-tuo;herb growing near river 
emeremuú;be lazy, indolent, idle
enéni; pity 
enéni-èneni; sorrowful 
epé;wander about
epé²; tree with yellow wood which grows in dába, yellow colour
epé beni;yellow colour, dye
epéin;in panic,by chance
epépere; stammer
 epéri ;to go away in confusion
eréabàụ; dress as a girl
eréin sokotẹẹ̀;a drum call, meaning the time is ripe, the moment has arrived, zero hour has come
eréziimọ-warị;maternity home
indi erí ;smoke fish on rack
eréabàụ́; girl who has not been circumcised
Eréabàụ́;Miss
eréin-sịyaịn; siesta
eré-ọmbị;herb 
eréwọ̀ụ-indóu;butterfly fish  
éri¹; dry (something) on drying-rack, smoke
 éri ịtataịn;soot
